Date,totalnetwork_115,totalnetwork_230,totalnetwork_424,totalnetwork_460
2013/2/19,0.372306928,0.487521121,0.358494869,0.387536071
2013/2/20,0.383510527,0.487154189,0.362250125,0.391347634
2013/2/21,0.391446644,0.469427366,0.336941419,0.394777884
2013/2/22,0.416576507,0.454971281,0.331981844,0.383123861
2013/2/25,0.403040744,0.451223244,0.324531266,0.402790978
2013/2/26,0.462196006,0.433879805,0.301474004,0.412136458
2013/2/27,0.4735684,0.465834212,0.255659146,0.430521442
2013/2/28,0.476264327,0.461191173,0.294344569,0.421867115
2013/3/1,0.416646786,0.47720191,0.31321631,0.414713812
2013/3/4,0.416715752,0.525104901,0.403558633,0.43215106
2013/3/5,0.486094433,0.502768828,0.352633344,0.484650385
2013/3/6,0.473366141,0.536037322,0.343787483,0.47430486
2013/3/7,0.442249934,0.542001808,0.33676721,0.453906803
2013/3/8,0.420781077,0.530638677,0.560712468,0.455366768
2013/3/11,0.4458403,0.534377642,0.558925597,0.488027734
2013/3/12,0.446435842,0.547779716,0.553371086,0.498708058
2013/3/13,0.45999853,0.531249798,0.565629565,0.44169502
2013/3/14,0.432504877,0.492222708,0.568971852,0.444265747
2013/3/15,0.451264723,0.521238973,0.573915514,0.399423636
2013/3/18,0.470186407,0.51041126,0.527365725,0.433197921
2013/3/19,0.434031719,0.538753659,0.507731726,0.425948119
2013/3/20,0.462154417,0.511233483,0.489177588,0.429634004
2013/3/21,0.486499377,0.504364962,0.496245661,0.377974458
2013/3/22,0.444593703,0.503265968,0.514409021,0.383869495
2013/3/25,0.446510037,0.482299339,0.526994373,0.378799156
2013/3/26,0.449616765,0.493255451,0.499011574,0.360570605
2013/3/27,0.461627528,0.508002632,0.495473673,0.400913795
2013/3/28,0.436757305,0.51847888,0.503636353,0.384453601
2013/4/1,0.411024807,0.463902693,0.588138076,0.390869695
2013/4/2,0.424628807,0.484624874,0.585984994,0.370279465
2013/4/3,0.396713446,0.494556421,0.605894724,0.37509018
2013/4/8,0.427689031,0.44960415,0.544383647,0.407386466
2013/4/9,0.426946725,0.456048234,0.633646188,0.409069112
2013/4/10,0.43354669,0.434987049,0.638228079,0.390152008
2013/4/11,0.386410664,0.436819165,0.637493896,0.396183675
2013/4/12,0.389047688,0.435253063,0.627747287,0.372903263
2013/4/15,0.410562843,0.429393467,0.559223715,0.357721562
2013/4/16,0.434110624,0.453489904,0.594069243,0.39016167
2013/4/17,0.394625668,0.406554187,0.592841967,0.432380195
2013/4/18,0.392337244,0.393366595,0.617750052,0.396532885
2013/4/19,0.378844673,0.38239103,0.586159969,0.411625857
2013/4/22,0.373541597,0.376237475,0.612716993,0.4367726
2013/4/23,0.361273591,0.350995691,0.537516031,0.427005547
2013/4/24,0.360049348,0.32584415,0.534465431,0.428638092
2013/4/25,0.345022183,0.349818555,0.531880808,0.440427741
2013/4/26,0.323395863,0.338825441,0.542290448,0.38329179
2013/5/2,0.324796423,0.37897795,0.605912181,0.387956572
2013/5/3,0.281716681,0.372966341,0.605118665,0.377836289
2013/5/6,0.320291097,0.385232014,0.605148751,0.391941896
2013/5/7,0.35612689,0.396003677,0.62267237,0.574423848
2013/5/8,0.365092054,0.411514957,0.620997414,0.613544471
2013/5/9,0.365315683,0.399023012,0.621417598,0.614169947
2013/5/10,0.392705488,0.375961633,0.589871045,0.572852154
2013/5/13,0.385187281,0.382411675,0.568191342,0.589086562
2013/5/14,0.411977245,0.418744634,0.581221197,0.61842687
2013/5/15,0.403552744,0.394433604,0.584259697,0.565074553
2013/5/16,0.37626699,0.398619428,0.606945105,0.558892115
2013/5/17,0.415131314,0.410139829,0.581682007,0.556582416
2013/5/20,0.409196214,0.354590142,0.535073123,0.566247922
2013/5/21,0.436969803,0.41095899,0.518135098,0.57147905
2013/5/22,0.386168971,0.411787668,0.531219844,0.529609215
2013/5/23,0.461087012,0.395857379,0.544208782,0.481345026
2013/5/24,0.37496959,0.379790003,0.525847023,0.525440161
2013/5/28,0.374536357,0.376043445,0.512481219,0.460490757
2013/5/29,0.355510979,0.374733539,0.503902789,0.428837133
2013/5/30,0.332953522,0.334028077,0.508922475,0.443162247
2013/5/31,0.306279694,0.318071653,0.494319907,0.460269951
2013/6/3,0.328105822,0.327866333,0.36007579,0.484442177
2013/6/4,0.271343872,0.323453195,0.387902145,0.486484409
2013/6/5,0.310770749,0.338143859,0.405571595,0.489844386
2013/6/6,0.295432918,0.326291494,0.387697336,0.499614217
2013/6/7,0.350672072,0.346145653,0.421717131,0.492591684
2013/6/13,0.387423106,0.477094243,0.381995354,0.450837398
2013/6/14,0.434342988,0.468957068,0.352527566,0.486818
